01/07/21 10:41:34:880 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 4019 | AdobeGCInvokerUtility : inside getLatestGCApplication
01/07/21 10:41:36:359 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 4019 | ***********AdobeGC Updater library invoked = 7.1.0.111 ************
01/07/21 10:41:36:359 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4019 | Perform WF started
01/07/21 10:41:36:359 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4019 | Perform WF completed
01/07/21 10:41:36:359 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 4019 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
01/07/21 10:41:36:360 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Trying to acquire the semaphore
01/07/21 10:41:36:360 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Semaphore acquired
01/07/21 10:41:36:360 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Threaded CFU Started
01/07/21 10:41:36:360 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 4663 | Get client install path Started
01/07/21 10:41:36:360 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 4663 | Get client install path Ended
01/07/21 10:41:36:360 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Client sanitization started
01/07/21 10:41:36:360 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 4663 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
01/07/21 10:41:38:541 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 4663 | Status returned is 0 
01/07/21 10:41:38:541 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 4663 | Code signature is OK. 
01/07/21 10:41:38:541 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 4663 | Completed VerifyCodeSign. 
01/07/21 10:41:38:543 | [INFO] |  |  |  | AdobeGCVersionWrapper |  |  | 4663 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
01/07/21 10:41:38:543 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Client sanitization ended
01/07/21 10:41:38:543 | [INFO] |  |  |  | AdobeGCClientHealthUtil |  |  | 4663 | Checking CEF dependencies
01/07/21 10:41:38:544 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Threaded CFU Ended
01/07/21 10:41:38:544 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 4663 | Semaphore signalled
01/07/21 10:41:39:422 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 4019 | AdobeGCInvokerUtility :  AdobeGC_CFUCallbackFn is invoked
01/07/21 10:41:39:422 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 4019 | AdobeGCInvokerUtility : inside invokeGCApplication.
